filename,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l20,l21,l22,l23,l24,l25,l26,l27,l28,l29,l30,l31,l32,embed_x,embed_y
0_tr_reg_000_0.obj,0.09665586,0.12843125,0.26452047,-0.021366252,-0.04669033,0.04358767,0.05955512,0.06741732,-0.32529274,-0.104543485,0.21511361,0.21603091,-0.07598994,-0.13147661,0.032648984,0.30047125,-0.012961351,-0.10562208,0.08175188,-0.31170723,-0.11708715,-0.031072564,-0.35447213,0.1435669,0.0026584931,0.024254655,0.16601051,0.33304077,0.022548156,-0.045124117,0.386968,0.00091353105,0.0,0.0
0_tr_reg_001_0.obj,0.05931445,-0.078936055,0.23776713,0.25561345,-0.07324685,-0.13170707,-0.10836887,-0.35077196,-0.27573824,0.037418626,-0.22584803,-0.0071258037,0.1758785,-0.12037841,-0.12223242,0.0766656,0.18407217,-0.14265294,-0.15909146,0.13559462,-0.112757385,0.24609822,0.31919724,-0.23175782,0.30108824,0.056908388,-0.10030717,-0.071424104,-0.117074125,0.11705812,0.22699852,0.036769237,0.0,0.0
0_tr_reg_002_0.obj,-0.067512795,0.29353854,0.21710275,0.13247974,-0.038828947,0.110179126,0.23634417,0.30432075,-0.26127857,-0.13084668,-0.15576048,0.19074647,-0.32979494,0.044296723,-0.10271828,-0.021988858,-0.0030214486,0.07487766,-0.031375133,-0.13217677,0.23814559,0.12317093,-0.06242219,0.1563406,0.08924637,-0.042734116,-0.007065754,-0.21530727,0.2370769,-0.208703,-0.34317297,0.1290695,0.0,0.0
0_tr_reg_003_0.obj,-0.27703065,0.10108489,0.052985422,0.00025204298,0.059608143,-0.014716158,0.025717443,-0.04511818,0.269188,0.12849158,-0.16236098,-0.14538132,0.235473,0.013889265,-0.00336643,-0.29910302,-0.23459768,0.25267628,-0.12957534,-0.15759827,-0.224832,-0.2335607,0.28035894,-0.10167839,-0.2430317,0.065025635,-0.26043895,0.16791728,0.049636416,0.29462385,0.03461405,-0.13359503,0.0,0.0
0_tr_reg_004_0.obj,0.35793665,-0.17918476,0.028721105,0.12490826,0.07649056,0.09922961,-0.3179208,-0.120883904,-0.108682685,0.14282933,0.041384984,-0.053319305,0.18547745,0.32485935,0.17063478,0.20841311,-0.40678644,-0.1513709,-0.0830618,0.062481966,-0.047550175,-0.21137278,-0.096816845,0.21476813,0.11831652,0.20434366,0.13717534,-0.099667326,0.12596937,-0.020648573,-0.12779191,0.15474708,0.0,0.0
0_tr_reg_005_0.obj,-0.05752141,0.13240473,-0.15016621,-0.4223428,0.28899008,-0.20471418,-0.07803912,0.032021496,-0.05260897,-0.09668526,0.15686806,0.08049604,-0.086227246,0.16292962,0.0057287267,-0.0010434983,0.07857173,-0.067889206,0.09807711,0.11803648,-0.0880554,-0.19503628,0.21290533,-0.06668119,0.34790346,-0.0070682354,0.040246315,-0.46081337,-0.14720464,0.021690018,-0.266016,-0.10304594,0.0,0.0
0_tr_reg_006_0.obj,-0.17982055,0.3823385,-0.06641441,0.06409162,0.35698023,0.34276173,0.084241085,0.19295757,0.18550327,0.02066505,-0.06799597,-0.2445622,0.044237927,-0.08997595,0.18156992,-0.07173271,0.0836125,0.05629146,0.0103930505,0.27610397,-0.24004176,0.0812327,-0.14617632,-0.0027591116,-0.14432943,0.263819,0.05343877,0.059601996,-0.26822865,-0.124265276,-0.008242181,0.14101025,0.0,0.0
0_tr_reg_007_0.obj,-0.062050145,-0.516184,0.022092927,0.27050135,0.037544284,0.2033517,-0.16597486,0.11565769,-0.017435933,-0.20278029,0.039998483,-0.060602378,-0.25287664,0.25980896,-0.41840953,-0.2524807,0.06578288,0.009784798,0.07835989,-0.040521957,0.037103534,-0.005531379,-0.01868196,-0.0057231816,0.2891114,0.033347327,0.05982387,0.11133872,0.09644718,0.12055734,-0.08355041,-0.09959103,0.0,0.0
0_tr_reg_008_0.obj,0.0677867,-0.1068871,-0.2654187,0.13971844,-0.041946515,-0.13601182,0.33378747,-0.040079013,0.13587402,-0.024913523,0.2291859,-0.42837748,-0.060286492,0.26908872,0.014402468,-0.20705046,0.17874002,-0.13009273,0.058162015,-0.006275019,0.054902673,-0.04319221,0.06762624,0.028025933,-0.17249191,-0.23818626,0.043103095,0.307832,-0.23898757,-0.21855439,-0.060198788,-0.1798718,0.0,0.0
0_tr_reg_009_0.obj,-0.026959803,-0.021768004,0.10028713,0.018448854,-0.086930774,-0.09081258,-0.13084851,0.043624412,0.37019756,0.14635365,0.030816523,0.11348157,-0.23030145,-0.10921352,0.114014,0.1780135,0.16522095,0.05893306,-0.12060455,0.3600682,0.3288848,-0.08044141,-0.23572624,-0.25232038,-0.0070279804,0.24396436,-0.0018787717,0.208577,-0.33629543,-0.016983062,0.0628998,-0.20585431,0.0,0.0
2_0_tr_reg_000_0_0.obj,0.012483496,0.24103561,0.23157434,-0.09187521,0.027243882,0.09681489,0.07667675,0.23502192,-0.20503753,-0.14482477,0.22926725,0.2632767,-0.15634184,-0.15026784,0.06947232,0.26011714,-0.09811521,-0.04165996,0.12921573,-0.29703978,-0.0771296,-0.09509007,-0.42934704,0.19734995,-0.004484783,0.028728722,0.188781,0.2349614,-0.020406619,-0.017481016,0.23646092,0.033914104,0.0,0.0
2_0_tr_reg_001_0_0.obj,0.1296488,-0.04158122,-0.06409495,0.14892863,-0.15977535,-0.1777358,-0.07400302,-0.3048236,-0.16287291,-0.003493989,-0.2173746,-0.109385625,0.17248523,-0.17788546,0.038851228,0.08855618,0.2966905,-0.2278732,-0.06977262,0.23542099,-0.006957368,0.47206667,0.2077457,-0.27927884,-0.09800727,-0.07491182,-0.11863976,-0.13981849,-0.03640754,-0.050763045,0.17125827,0.12958728,0.0,0.0
2_0_tr_reg_002_0_0.obj,-0.17116039,0.2779025,0.13415939,-0.004218724,-0.037698187,-0.010354887,0.21750973,0.27891883,-0.060609348,-0.1347785,-0.09703104,0.2621378,-0.31456432,-0.004864677,0.0054366775,0.054171897,-0.15877356,0.09046764,-0.099280395,-0.055777363,0.25442868,0.086457685,-0.06598908,0.13196991,0.03926914,-0.0633525,-0.004224734,-0.3242285,0.2230794,-0.1963919,-0.4248598,0.16442756,0.0,0.0
2_0_tr_reg_003_0_0.obj,-0.10608118,0.12933783,0.055078644,-0.12460941,0.014467395,0.064004384,0.027641758,-0.004535462,0.11924721,0.25357935,-0.21394375,-0.0019169939,0.21480015,-0.11250568,-0.103244856,-0.24811776,-0.08156657,0.3887844,0.017496709,-0.2038339,-0.16906404,-0.30821943,0.3910639,-0.0052503785,-0.013612742,0.081909046,-0.18845259,0.013006351,-0.028472168,0.34932145,0.1312476,-0.18495709,0.0,0.0
2_0_tr_reg_004_0_0.obj,0.32201588,-0.2413159,-0.15979433,-0.008377088,0.0014826967,0.042292207,-0.26357856,0.011291794,0.069051504,0.10525654,0.09966824,0.035174232,0.19799587,0.07985585,0.13335374,0.2466986,-0.49384475,-0.25075924,-0.04372327,0.04132271,-0.0803831,-0.11623009,-0.16791065,0.28347588,-0.077836946,0.0713503,0.09058954,-0.1010377,0.10945906,0.09450595,-0.035447955,0.31495374,0.0,0.0
2_0_tr_reg_005_0_0.obj,-0.06953486,0.11906041,-0.2021399,-0.43065143,0.32149145,-0.15689397,-0.13219273,0.080723934,-0.10318422,-0.10797508,0.18030223,0.1301441,-0.10792193,0.13598979,-0.07563541,-0.009589877,0.14743307,-0.13981695,0.08951541,0.10692149,-0.21902059,-0.17525333,0.23038721,-0.08534834,0.26960742,0.0486392,0.06312958,-0.39660048,-0.09155566,0.08325971,-0.16057242,-0.13339217,0.0,0.0
2_0_tr_reg_006_0_0.obj,-0.17068109,0.2998959,-0.14317769,-0.0052259974,0.25705728,0.40578908,0.035851594,0.17517914,0.07531563,0.026417566,-0.15727094,-0.20385665,0.035473134,-0.12523995,0.11333952,-0.038455963,0.17195764,0.12477122,0.039461363,0.2947812,-0.25973827,0.21225108,-0.050292313,-0.04840408,-0.041464023,0.36657187,0.1547453,-0.009825789,-0.1611299,-0.17563352,0.020471714,0.15941702,0.0,0.0
2_0_tr_reg_007_0_0.obj,0.032043535,-0.3387193,0.079278775,0.21223797,0.027186016,0.2845957,-0.24108584,0.14589949,0.041636378,0.0030670855,-0.093932904,-0.039668564,-0.08731075,0.05120963,-0.26745114,-0.22996339,0.10286713,0.14330822,0.35527527,-0.015820835,0.30198,0.00784534,-0.16816664,0.05598151,0.37491915,-0.17546462,-0.08968796,0.013480438,-0.16965488,0.17205061,-0.05707598,-0.05910862,0.0,0.0
2_0_tr_reg_008_0_0.obj,0.2837789,0.061292235,-0.33601403,-0.19169743,0.0384456,0.060400102,0.2734363,0.0018956782,0.10232567,0.12256628,0.17242718,-0.21550079,0.07039153,0.14262941,0.094096266,-0.20912886,0.18905017,0.16095403,0.26790532,-0.1474743,0.05653217,-0.27778968,0.0854951,0.2522441,-0.3447615,-0.12809713,0.015071808,0.008287592,-0.050909195,-0.093858324,-0.001895355,-0.23059213,0.0,0.0
2_0_tr_reg_009_0_0.obj,-0.11977687,0.022165664,0.050248355,0.0651586,-0.0892603,0.08622138,-0.16675971,0.29938796,0.3088856,0.090245195,-0.06309677,0.17838146,-0.3456696,-0.1894875,-0.0065818992,0.069102496,0.22763707,0.038292956,-0.022086406,0.32122543,0.34817907,0.06314283,-0.2248668,-0.1995143,0.0040048514,0.17074944,0.020594442,0.099482946,-0.33351862,0.036068916,-0.047074318,-0.13853402,0.0,0.0
2_1_0_tr_reg_000_0_0_0.obj,-0.09311357,0.12186897,0.2998946,0.032428235,0.07689889,-0.006121749,-0.056002572,0.014631992,-0.40743658,-0.122877255,0.19417359,0.1682234,-0.034265634,-0.06272729,-0.05971185,0.1421185,0.11336536,-0.25073114,-0.02467076,-0.28610355,-0.28560954,0.029731544,-0.1694794,-0.033000816,-0.032793354,-0.10275453,0.03942722,0.3783548,0.12797894,0.062398963,0.3680968,-0.13285804,0.0,0.0
2_1_0_tr_reg_001_0_0_0.obj,0.22637022,-0.107811384,-0.048708387,0.14724264,-0.10562805,-0.101286,-0.11109962,-0.25236446,-0.2959482,-0.03395944,-0.23170598,-0.039522577,0.05495368,-0.084900424,-0.17002542,0.007708849,0.3592969,-0.19700253,-0.059560888,0.1776293,-0.121638395,0.3644274,0.32034385,-0.21986066,-0.030484399,0.15213634,-0.044302896,-0.21560481,0.031771068,0.0073670438,0.2184932,0.09775968,0.0,0.0
2_1_0_tr_reg_002_0_0_0.obj,-0.13675407,-0.014971793,0.01266417,-0.152513,-0.21954925,-0.12725623,0.15632716,0.0381107,0.1703832,-0.065248705,-0.06343501,0.37400675,-0.05832046,-0.3188615,0.0002879334,0.21016559,-0.34788746,0.17248914,-0.06992761,-0.07736545,0.20852606,0.10701207,-0.01531244,0.1931394,0.056300905,-0.043891482,0.053000767,-0.3847707,0.14810294,0.008008673,-0.13947216,0.29899862,0.0,0.0
2_1_0_tr_reg_003_0_0_0.obj,-0.24502274,0.0029861403,-0.06379442,-0.21454069,-0.001755741,-0.049414854,-0.029238313,-0.089333504,0.24829544,0.11847362,-0.110043295,0.020593606,0.24099204,-0.16675498,-0.06362426,-0.16671607,-0.19313313,0.2581802,-0.07809993,-0.11962942,-0.334313,-0.20659411,0.37392268,-0.072566666,-0.12431814,0.11289681,-0.114003226,0.04027161,0.06896884,0.39597276,0.18816532,-0.09463191,0.0,0.0
2_1_0_tr_reg_004_0_0_0.obj,0.3151141,-0.20544101,0.14295098,0.20590934,0.09399129,0.101821266,-0.29062477,-0.20042787,-0.14719194,0.17605592,0.004169119,-0.05126181,0.20121756,0.31873205,0.14822726,0.19305073,-0.34825808,-0.109055586,-0.10088223,0.08957579,-0.02234914,-0.22815904,-0.028731639,0.17228562,0.3048811,0.17568842,0.12506583,-0.048274178,0.03818363,0.019202773,-0.1033098,0.080439195,0.0,0.0
2_1_0_tr_reg_005_0_0_0.obj,-0.10841943,0.08992252,-0.21685793,-0.4327659,0.32651335,-0.12325497,-0.18764727,0.13014628,-0.064644784,-0.1089731,0.20474942,0.16432986,-0.12447704,0.09873842,-0.08114769,0.0054481034,0.14953995,-0.17562684,0.100583225,0.11574033,-0.2323371,-0.17494944,0.17255974,-0.09146326,0.25011623,0.02266925,0.07227212,-0.34411594,-0.1081091,0.12739669,-0.13743328,-0.14861867,0.0,0.0
2_1_0_tr_reg_006_0_0_0.obj,-0.13987686,0.29592946,-0.27073494,-0.14289472,0.27157697,0.3705575,0.0124517875,0.11339331,0.05732839,0.0922302,-0.20752606,-0.18669802,0.10809974,-0.07937845,0.17017557,0.006075289,0.19665772,0.13621075,0.07576849,0.31586704,-0.23811969,0.21199417,0.015727093,-0.094157815,-0.051534735,0.34210783,0.08264829,-0.037962392,-0.070951596,-0.16063726,0.027256638,0.07294943,0.0,0.0
2_1_0_tr_reg_007_0_0_0.obj,-0.033355106,-0.39630574,0.1729823,0.3663659,0.07090987,0.20873387,-0.2037318,0.080726005,-0.059270963,-0.061995305,-0.020644825,-0.104796916,-0.1487782,0.24533914,-0.31125745,-0.23873004,0.09764327,0.011905362,0.13442683,-0.034339827,0.13653852,-0.055644702,-0.05755458,-0.024834184,0.39847994,-0.08943548,-0.048331216,0.19655508,-0.10174316,0.14162762,-0.057935882,-0.17315014,0.0,0.0
2_1_0_tr_reg_008_0_0_0.obj,0.036766477,-0.2325696,-0.13091281,0.11440506,0.09441421,-0.029059783,0.15218762,0.0685571,0.2766751,-0.07069273,0.21834543,0.041277926,-0.11946564,-0.21163937,-0.12448088,-0.1409775,-0.014325076,-0.28451705,0.010740869,0.28240317,-0.05052267,-0.091758326,0.013353928,0.14868647,0.14971653,-0.14487557,0.21096736,0.056832418,-0.50677705,0.18884759,-0.011592281,0.27076307,0.0,0.0
2_1_0_tr_reg_009_0_0_0.obj,0.19907059,-0.18587396,0.27032718,0.16705978,-0.15747525,0.012748368,-0.17788525,-0.17268078,0.00017041832,0.16804345,0.0071348054,0.07189224,-0.049459342,-0.09300522,-0.025064467,0.22192383,0.15675832,0.016049355,-0.19041118,0.18624546,0.015807252,-0.07562895,-0.1031572,-0.15193857,0.02677048,0.461058,0.13894674,0.30217534,-0.16940838,0.024880474,0.38032782,-0.10312598,0.0,0.0
2_1_tr_reg_000_0_0.obj,0.025080374,0.12419744,0.17593214,-0.17892036,0.09824751,0.03041331,-0.17086814,0.096722,-0.29739502,-0.04951622,0.24601462,0.31662926,-0.023526357,-0.14313354,-0.010308473,0.21483125,-5.0088194e-05,-0.200047,0.114766605,-0.25690264,-0.30237097,-0.13697554,-0.2114954,0.0627908,0.0045309616,0.0030930387,0.14364846,0.2402797,-0.012324191,0.19071543,0.3930628,-0.0735239,0.0,0.0
2_1_tr_reg_001_0_0.obj,0.1933931,-0.053049758,0.036838185,0.2322131,-0.13367401,-0.13627636,-0.08107278,-0.31006864,-0.2629148,0.031341456,-0.25048614,-0.11620711,0.15128723,-0.11695155,-0.05947878,0.03548504,0.3378095,-0.20347331,-0.05683695,0.19315031,-0.017331308,0.39695165,0.27031523,-0.2546955,0.039409015,-0.012971385,-0.11881144,-0.119904935,-0.09473329,-0.01397033,0.20057312,0.07844912,0.0,0.0
2_1_tr_reg_002_0_0.obj,-0.3206476,0.13948114,0.1085168,-0.0337791,-0.20678958,-0.074110076,0.21638812,0.13526337,0.111863054,-0.18529308,-0.061660137,0.21259409,-0.26900235,-0.1469784,0.06574209,0.09574964,-0.1148112,0.1327238,-0.18464625,0.019604977,0.28829756,0.24742551,-0.17606646,0.0064387294,-0.11628583,-0.044508018,0.02103458,-0.14143594,0.26840106,-0.29487315,-0.289489,0.16954145,0.0,0.0
2_1_tr_reg_003_0_0.obj,-0.030856809,-0.044579964,0.06224872,-0.033232413,-0.10619032,0.013742497,0.08624044,-0.039979912,0.0625212,0.16129126,-0.1363686,0.030878011,0.13945639,-0.11618353,-0.25629708,-0.232578,-0.11943839,0.33581647,-0.0770994,-0.28148884,-0.26092744,-0.30104703,0.43931282,0.072299235,-0.03601839,0.16035376,-0.05748004,0.03722234,0.077821925,0.32675737,0.2114173,-0.104886435,0.0,0.0
2_1_tr_reg_004_0_0.obj,0.34171823,-0.19145106,-0.17219631,0.036635175,0.0048118606,0.05398258,-0.26182914,-0.015350794,0.028136777,0.13011627,0.09256547,-0.05146508,0.24324308,0.13381276,0.20548417,0.25197843,-0.4560303,-0.3029584,-0.06056478,0.06429065,-0.060008023,-0.05616391,-0.18566683,0.24133988,-0.11673199,0.015058726,0.0636456,-0.04029011,0.11756128,0.038348213,-0.06004279,0.29441518,0.0,0.0
2_1_tr_reg_005_0_0.obj,-0.27855632,0.041519072,-0.12126237,-0.24873345,0.28505093,-0.15976045,-0.24712738,-0.028187113,-0.13945019,-0.103512645,0.20770599,0.13229777,0.0028690458,0.019670056,0.023518065,0.090273984,0.2515531,-0.41109276,-0.03646662,0.10999215,-0.2679107,0.07166744,0.02433292,-0.28586197,-0.014443453,-0.22445011,-0.07248767,0.10270806,0.06121569,0.1366233,0.09636886,-0.2693446,0.0,0.0
2_1_tr_reg_006_0_0.obj,0.0070509557,0.21104863,-0.29193822,-0.20512196,0.12501979,0.44763717,0.019099861,0.20664982,-0.058750045,0.14620918,-0.29014403,-0.039332572,0.03772274,-0.13225998,0.01621186,-0.016773252,0.23725156,0.27038273,0.18809158,0.17054076,-0.10825295,0.20844124,0.07394382,0.0023755291,-0.0054170266,0.37148982,0.098302476,-0.13134424,0.041489232,-0.09654349,0.060372572,0.06982605,0.0,0.0
2_1_tr_reg_007_0_0.obj,-0.10890335,-0.4826653,-0.1984606,-0.06490354,-0.005063646,0.030008957,-0.3286392,-0.074859515,0.13940428,-0.2758613,0.035763342,-0.05592453,-0.18519607,0.21833822,-0.25032467,-0.19684681,0.056138463,-0.047064614,-0.038580127,0.116865225,-0.13254747,0.09614913,-0.027859801,-0.23936921,-0.15864836,0.25349152,0.102658674,-0.022201242,0.32396087,0.028829632,-0.04333815,-0.014240057,0.0,0.0
2_1_tr_reg_008_0_0.obj,0.2601573,0.06955218,-0.35308272,-0.10579249,0.015839128,0.039569415,0.35436797,0.018862087,0.09447768,0.1572432,0.12623134,-0.28247607,0.036908384,0.20322213,0.13897683,-0.17994823,0.15478486,0.1386726,0.1979042,-0.072705045,0.09347346,-0.23862475,0.13837701,0.25476333,-0.2641382,-0.13377108,0.061232712,0.01784433,-0.102138534,-0.19659962,-0.11036342,-0.22308914,0.0,0.0
2_1_tr_reg_009_0_0.obj,0.15272056,-0.17969404,0.1374738,-0.24467023,-0.12761717,-0.1602434,-0.11596102,-0.27617356,0.19078302,0.02474334,0.13715374,0.14336148,-0.089174494,-0.0476831,0.088705935,0.2195903,0.1370316,0.25692156,-0.15221758,0.20330776,0.10221674,-0.17383613,-0.04024317,-0.19897082,-0.098277956,0.51892066,0.10562142,-0.030750986,0.062450163,-0.023089275,0.22729452,-0.113802865,0.0,0.0
