filename,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l20,l21,l22,l23,l24,l25,l26,l27,l28,l29,l30,l31,l32,embed_x,embed_y
0_tr_reg_000_0.obj,0.09665579,0.12843105,0.26452047,-0.021366341,-0.046690386,0.04358758,0.059554987,0.06741726,-0.3252927,-0.10454354,0.21511373,0.21603101,-0.07598999,-0.13147654,0.03264895,0.30047137,-0.012961286,-0.1056221,0.08175185,-0.3117071,-0.11708708,-0.031072602,-0.35447216,0.14356676,0.0026585308,0.024254724,0.16601045,0.33304077,0.022548217,-0.045124028,0.38696805,0.000913361,854.2895051400429,309.00659875227007
0_tr_reg_001_0.obj,0.05931443,-0.07893595,0.23776707,0.25561357,-0.07324681,-0.131707,-0.10836896,-0.35077187,-0.27573818,0.03741873,-0.22584814,-0.007125873,0.17587857,-0.120378286,-0.12223244,0.076665476,0.18407206,-0.14265296,-0.15909146,0.13559462,-0.11275739,0.24609812,0.31919727,-0.23175786,0.3010883,0.05690846,-0.10030718,-0.07142405,-0.117074154,0.11705815,0.2269984,0.036769185,1382.4299248721998,483.6518199506915
0_tr_reg_002_0.obj,-0.06751256,0.29353836,0.21710266,0.13247989,-0.03882907,0.11017907,0.2363442,0.30432078,-0.26127854,-0.13084671,-0.15576047,0.19074638,-0.32979515,0.04429678,-0.10271841,-0.021988917,-0.0030212742,0.07487759,-0.031375073,-0.13217668,0.23814572,0.12317095,-0.062422168,0.15634064,0.0892463,-0.042733986,-0.0070657125,-0.21530727,0.2370768,-0.2087031,-0.34317288,0.12906954,1459.678169017815,1009.8788936694959
0_tr_reg_003_0.obj,-0.27703106,0.1010851,0.052985482,0.00025212317,0.05960829,-0.0147160115,0.02571743,-0.04511811,0.26918784,0.12849155,-0.16236104,-0.14538142,0.23547305,0.013889245,-0.0033664883,-0.29910308,-0.2345976,0.25267613,-0.12957534,-0.1575983,-0.22483227,-0.23356046,0.28035894,-0.10167855,-0.24303131,0.06502555,-0.26043877,0.16791761,0.04963624,0.29462382,0.034614094,-0.13359523,767.9646969797836,1312.7888023709806
0_tr_reg_004_0.obj,0.35793665,-0.17918476,0.028721128,0.12490839,0.07649059,0.099229544,-0.3179207,-0.120883934,-0.10868276,0.14282931,0.04138496,-0.053319357,0.1854774,0.32485947,0.17063479,0.20841311,-0.40678638,-0.15137103,-0.083062,0.062482037,-0.047550175,-0.21137269,-0.09681679,0.21476804,0.11831646,0.20434374,0.13717529,-0.099667266,0.1259694,-0.020648621,-0.12779194,0.15474713,651.0338607679236,1237.5749430662954
0_tr_reg_005_0.obj,-0.05752131,0.1324048,-0.15016612,-0.42234266,0.2889901,-0.20471416,-0.07803918,0.032021504,-0.052609067,-0.096685246,0.15686797,0.08049599,-0.08622736,0.16292971,0.005728624,-0.0010436641,0.07857195,-0.06788924,0.098077156,0.11803654,-0.08805524,-0.19503619,0.21290536,-0.066681296,0.34790346,-0.007068274,0.040246226,-0.46081337,-0.14720465,0.021689942,-0.26601613,-0.10304604,566.528407579988,885.0490648918668
0_tr_reg_006_0.obj,-0.17982052,0.38233846,-0.066414386,0.06409171,0.35698,0.34276175,0.084241375,0.19295773,0.1855035,0.02066506,-0.0679959,-0.24456227,0.04423795,-0.089976236,0.18156989,-0.07173271,0.08361235,0.056291573,0.010393064,0.27610376,-0.24004176,0.08123269,-0.14617643,-0.0027588748,-0.14432961,0.26381895,0.053438857,0.05960223,-0.26822877,-0.1242653,-0.008242027,0.14101039,623.5515429239504,362.89244278502315
0_tr_reg_007_0.obj,-0.062050026,-0.51618403,0.0220928,0.27050132,0.037544355,0.20335157,-0.16597502,0.11565748,-0.017436072,-0.20278037,0.039998636,-0.060602352,-0.2528767,0.2598091,-0.41840944,-0.25248063,0.06578322,0.009784528,0.07835996,-0.040521745,0.03710345,-0.0055312836,-0.018681882,-0.0057234024,0.28911144,0.033347316,0.05982401,0.11133874,0.0964471,0.12055731,-0.083550364,-0.09959118,349.43458783049226,1005.3026527887188
0_tr_reg_008_0.obj,0.067786664,-0.10688717,-0.26541886,0.13971835,-0.04194646,-0.13601184,0.33378753,-0.040078882,0.13587411,-0.024913654,0.22918606,-0.42837754,-0.06028655,0.26908857,0.014402387,-0.20705034,0.17874001,-0.1300928,0.058162052,-0.006274993,0.05490248,-0.043192077,0.06762627,0.028026136,-0.17249195,-0.23818605,0.04310331,0.30783194,-0.23898754,-0.21855442,-0.0601986,-0.17987165,217.49395389057156,595.9269495797878
0_tr_reg_009_0.obj,-0.026959725,-0.02176802,0.10028707,0.018449029,-0.08693077,-0.090812534,-0.13084844,0.043624565,0.37019762,0.14635374,0.030816618,0.11348168,-0.23030151,-0.10921355,0.11401398,0.1780136,0.1652208,0.05893293,-0.12060466,0.3600683,0.32888472,-0.08044145,-0.2357262,-0.2523202,-0.00702793,0.24396436,-0.0018786256,0.20857708,-0.3362955,-0.016983017,0.06289982,-0.20585422,1139.772359045477,304.57021943828
