filename,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l20,l21,l22,l23,l24,l25,l26,l27,l28,l29,l30,l31,l32,embed_x,embed_y
0_tr_reg_000_0.obj,0.22242877,0.008991302,0.113871105,0.13663082,0.076116726,0.38045636,-0.15280128,-0.09329249,0.19148849,-0.0007323363,-0.07436093,0.081875876,0.1663631,0.34149498,-0.040066518,0.084715255,-0.17305855,0.34796223,-0.07478834,0.18109737,-0.1384986,0.120950274,-0.07037444,-0.14177735,-0.081405275,0.26785317,0.30140978,-0.10812392,-0.24612822,0.16572179,-0.094102815,-0.090269916,244.37766,206.42175
0_tr_reg_001_0.obj,-0.14770417,-0.24635419,-0.04093627,-0.26683593,0.050004285,0.0025162497,-0.09461982,-0.21168333,-0.29864,0.2530076,0.1005642,-0.06458222,0.09778329,-0.15135346,0.24419917,0.099071585,0.22151612,-0.2988863,-0.06717061,-0.07070811,-0.062192395,0.22204319,-0.11371196,0.28224972,0.013376762,-0.05522481,-0.0120679205,-0.035997372,0.43192667,0.17210019,-0.06472119,0.015077344,96.246124,43.731995
0_tr_reg_002_0.obj,-0.009753176,0.005433425,-0.115184546,0.15213074,0.24008124,0.19687241,0.20369379,0.15864,-0.06996549,0.06886452,-0.026986897,0.16890971,0.06926716,-0.13269207,-0.013679821,-0.012693991,0.17764556,-0.191037,0.06898994,0.30544543,0.4286344,-0.13528174,0.14851628,-0.046683986,0.22733931,-0.1798907,-0.39929932,-0.144421,-0.08318353,0.07325182,-0.06125804,0.25691462,130.41649,18.632751
0_tr_reg_003_0.obj,0.03490554,-0.16379724,-0.23857248,-0.410032,0.11727385,-0.25960287,0.03389328,-0.027677067,0.1569216,0.18779641,-0.27177486,-0.13702227,0.25241897,-0.0828492,-0.0023507285,0.026440147,0.12134267,-0.2975962,-0.07765004,-0.16068245,-0.20109509,-0.12901768,0.02345253,0.17668249,-0.32085755,-0.07299215,-0.28504267,0.06547934,0.08663929,-0.08463955,0.07152667,0.04946632,76.58641,75.32805
0_tr_reg_004_0.obj,-0.09211515,0.014792863,0.23258708,0.23634979,-0.00162965,-0.094735675,-0.041097723,-0.0851332,-0.27044132,0.07148738,0.12009429,0.09583348,-0.12440264,0.21192478,0.1890134,-0.08921373,-0.18657432,0.19991966,-0.013443118,-0.22998391,0.42108792,0.23601392,-0.05024626,-0.06570229,-0.34420082,0.01851831,0.050276533,0.2044507,-0.14220433,-0.30576378,0.028523576,-0.11005663,113.356926,204.46469
0_tr_reg_005_0.obj,-0.09789232,-0.15776429,-0.07266421,-0.082239464,0.0011254533,0.025620036,0.105802804,-0.048358798,-0.21132064,-0.057486672,-0.05521686,0.039831113,0.14296874,0.04779756,0.07901928,-0.30086905,-0.09516833,0.1014843,-0.08214659,-0.42393097,0.42226765,0.010063476,0.10307073,0.14029117,0.044472653,0.13904096,-0.057462674,0.11859354,-0.36808822,0.37717775,-0.10286169,-0.16018467,229.55563,113.0818
0_tr_reg_006_0.obj,0.064936034,0.1763902,-0.083099425,-0.08929487,-0.31473893,-0.34890655,0.14588623,0.076817326,0.045450162,-0.19364662,-0.07185348,0.17524017,-0.2776528,-0.13117516,-0.081191316,0.043319926,-0.11986582,-0.14718115,0.093437195,0.06729145,-0.17078109,0.17400996,0.008493848,-0.11088125,0.4072624,0.38625118,0.051313005,0.22366698,0.1740474,-0.0128971515,-0.06361368,-0.016965566,108.59973,265.07648
0_tr_reg_007_0.obj,-0.33174196,-0.3696149,-0.10513865,0.2599452,-0.20467183,0.15421441,0.027298484,0.01661377,-0.12772861,-0.08162901,0.14749901,-0.05602329,-0.18251453,0.23424928,-0.021820853,-0.03242341,-0.09893054,0.05152769,0.15341869,-0.008366005,-0.16513622,-0.067315295,-0.11118961,0.006197793,-0.30066013,-0.23036064,0.30923107,0.20788644,0.30167714,-0.07986847,0.08931758,-0.050070196,50.476715,216.69028
0_tr_reg_008_0.obj,-0.034142353,-0.025683753,0.18738943,0.09503418,-0.24652399,-0.12456117,-0.17876345,0.14697823,0.13298824,0.17289862,0.09781333,0.2974098,-0.064278364,0.13943288,0.3553604,0.19081557,0.05362408,0.24286738,0.115630336,-0.11513289,-0.2617738,-0.2848994,0.3030259,-0.18159387,0.11490698,-0.091042,-0.21055248,-0.115763105,-0.0696508,-0.19489533,-0.060029455,-0.060581364,176.73186,190.51631
0_tr_reg_009_0.obj,-0.25700513,-0.24068862,-0.11034556,0.07588628,-0.15923569,-0.09406004,0.0013098639,0.320596,0.33427685,-0.24718243,0.022731287,-0.054878846,0.24783666,-0.244395,-0.2319632,-0.2888179,-0.26169464,-0.12838735,0.14620394,-0.10849822,0.00034163694,-0.050415136,-0.2319813,-0.16944954,-0.18159318,-0.09448304,-0.113560855,-0.11612078,-0.009475273,0.04909859,-0.0642344,0.09087077,52.696846,138.23854
