filename,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l20,l21,l22,l23,l24,l25,l26,l27,l28,l29,l30,l31,l32,embed_x,embed_y
0_tr_reg_000_0.obj,-0.06092831,0.19777675,-0.10234234,-0.20113415,0.41081524,0.078090586,-0.2747085,0.23479247,-0.16412891,0.06644111,-0.10912263,0.0543625,-0.014927095,0.114507765,-0.08284934,0.064898394,-0.17605342,-0.19015762,0.10909671,0.123874746,-0.39422292,-0.10862204,-0.030349316,0.21081226,0.06995606,0.3560603,0.07102842,-0.26735553,0.062615745,0.03134599,-0.024284007,0.09742848,279.40198,170.00267
0_tr_reg_001_0.obj,0.22805668,0.33444956,-0.17370395,-0.18310905,-0.26856396,0.053511307,-0.029766204,0.19038571,0.07996153,0.114885785,-0.086409,-0.4292524,0.12760864,-0.05415703,0.107335284,0.086779505,0.25034115,0.14377387,0.071725935,-0.08170336,-0.16970433,0.045895237,0.25236416,-0.19921893,0.104051344,0.16067831,-0.0058599254,-0.110489756,-0.35812506,-0.034730762,0.032028936,-0.043680526,46.288345,209.07399
0_tr_reg_002_0.obj,-0.077404864,0.11506231,-0.19448988,-0.026821325,0.14355125,0.07949267,-0.023820141,0.29243895,0.07668956,0.067195214,0.30880603,-0.3136439,-0.047561552,0.17252903,0.15169434,0.21508478,0.06982757,-0.29332346,-0.09100793,0.17448889,-0.3766776,0.06660343,-0.12918957,-0.042550936,-0.08780107,0.082430996,0.13839173,0.36347988,0.034296006,-0.22238488,0.041300196,0.105837904,185.70518,142.56516
0_tr_reg_003_0.obj,-0.23408361,-0.09391043,0.28938633,0.030146955,-0.13763626,0.1295246,0.34054995,0.09485965,-0.068885684,0.029994318,-0.31554654,0.061968744,-0.17886297,-0.21626659,-0.12436439,0.10908343,-0.054174636,0.30089206,-0.2448639,-0.11449221,0.09045651,0.052494068,-0.115937434,0.32097733,0.0007004001,0.3373611,0.067482896,-0.061209958,0.1636292,-0.17769259,-0.004148382,-0.037843898,34.9961,118.707466
0_tr_reg_004_0.obj,0.25355598,0.14917721,0.31895927,0.1348905,-0.086110994,0.18201853,-0.04832008,-0.065176554,-0.29860327,-0.05019169,0.24031651,0.037503943,0.054220196,-0.0022332456,0.07105696,0.13797574,-0.101858675,0.21575563,0.078021646,-0.19387619,-0.11099751,-0.15788007,-0.16016458,0.1286756,0.29646328,0.2614203,0.3836109,0.13440907,-0.051099032,-0.04439673,0.2296384,0.09846613,263.1021,111.890564
0_tr_reg_005_0.obj,-0.30003285,-0.08625304,0.12767032,-0.20846923,-0.008145165,-0.062549084,-0.18752393,0.21734215,-0.019225912,-0.07409484,0.19235499,0.22175878,-0.1815465,0.27657887,-0.0038841893,0.15665075,-0.21723117,-0.1116493,-0.058813643,-0.20742106,0.07593848,-0.0889582,-0.15938388,-0.2412871,0.4092605,-0.13687585,-0.11750515,0.24690896,0.122990035,0.024753183,-0.21991828,0.042531904,213.96568,190.18912
0_tr_reg_006_0.obj,-0.21224117,-0.00494185,-0.009749139,-0.2413359,0.16116746,0.031674106,-0.06925628,-0.0689019,-0.060069297,-0.0142219225,0.22367099,0.44559816,-0.03632751,-0.34467804,0.054776203,-0.081687085,0.25666344,-0.08207541,0.20721316,-0.035162773,-0.020657158,0.02919665,-0.111144595,-0.052528627,-0.20154907,-0.31865466,0.14918569,0.13238496,-0.090878054,0.15739162,0.2863324,-0.21848649,115.160065,26.949356
0_tr_reg_007_0.obj,0.18878075,0.04968102,-0.008751957,0.30210322,0.1600139,-0.029115992,0.11651691,-0.19278175,-0.20398967,-0.16649629,0.1406972,-0.09060612,-0.13968787,0.39112428,-0.0877203,-0.3605292,0.0756911,-0.10267958,0.09797443,0.10737449,0.1186252,-0.10585309,0.15588853,0.13703068,-0.10663514,-0.18170315,0.100043066,-0.25568062,0.13224488,-0.16870926,-0.33728632,-0.024790866,116.287094,217.89297
0_tr_reg_008_0.obj,0.004432755,-0.2030368,-0.17134684,0.25927052,-0.12515344,-0.20296617,0.09118357,-0.2996095,-0.021901023,-0.18647945,0.076844655,-0.018924167,0.3121995,-0.17382558,-0.0017540418,-0.0005384541,-0.19496426,-0.22418965,0.0023931498,0.10807278,-0.1700852,0.30845666,0.1274281,-0.01953697,0.0136820385,-0.2802821,0.07604577,0.15326247,0.15843245,0.095669836,0.13817795,0.36880326,200.37642,28.880806
0_tr_reg_009_0.obj,0.13127689,-0.16825382,-0.12255426,-0.1478859,0.03245324,-0.10455555,0.40119815,-0.11777667,0.31389022,0.23043086,-0.011709451,-0.045983102,0.053351834,-0.008830295,0.23482549,0.030255657,-0.19982661,0.07994802,-0.073344536,0.17206076,0.22481954,-0.29238626,-0.13334493,0.2538295,-0.22748995,-0.13445993,-0.0035277514,0.0015369318,-0.14435793,-0.041883446,-0.21716285,-0.280609,129.51935,113.49795
