filename,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l20,l21,l22,l23,l24,l25,l26,l27,l28,l29,l30,l31,l32,embed_x,embed_y
0_tr_reg_000_0.obj,0.31511116,-0.04295817,-0.1641108,0.10174159,0.07868802,0.04077537,-0.14146909,-0.079268284,-0.13325606,0.037688583,0.02056704,-0.23598076,0.24094254,0.10012406,-0.09431357,-0.17131242,0.2413398,-0.123788,0.18828918,0.2501477,0.35894606,0.103397764,-0.0030263723,-0.021892956,0.22849098,-0.28474197,-0.13354172,-0.22476579,-0.28982222,0.104375,-0.1911728,-0.033490673,144.79413,177.97952
0_tr_reg_001_0.obj,-0.33984676,0.12781632,-0.031131903,-0.15822731,0.21559,-0.097942926,0.18486293,0.24606544,-0.032103706,0.035597544,-0.28037208,0.027464854,-0.19613034,0.07226107,0.024400696,-0.0065432866,0.07261364,-0.08006934,-0.11523574,-0.08978412,-0.056475494,0.07523659,0.31660953,0.13925967,-0.12839979,-0.20437516,-0.35310587,-0.30740649,0.24692981,-0.02246655,-0.21888538,-0.13054791,108.27973,105.70687
0_tr_reg_002_0.obj,-0.14438903,0.021989241,-0.16108724,-0.20637448,-0.03336065,0.0005242418,-0.27981508,-0.0027331295,-0.11261125,-0.21972731,-0.13982598,0.107084595,0.23098923,0.045527603,-0.017795177,0.04016088,-0.23714876,-0.060442995,0.12074328,-0.070450224,0.07140704,0.16660069,-0.34518635,-0.34813827,0.35959682,-0.08524987,-0.22410256,0.21547814,-0.033137202,0.30013162,-0.007574647,-0.06530782,161.3819,149.56143
0_tr_reg_003_0.obj,-0.09513237,0.09049629,-0.11727597,-0.5140349,-0.013267848,-0.040375426,-0.017905248,-0.054693665,0.3348003,0.08813476,0.029695326,0.13539468,-0.2000334,-0.13606998,-0.08890614,-0.31971294,0.22702825,0.08332658,0.087346025,-0.08601047,0.110837385,0.011520851,0.13989668,-0.22288191,-0.36546314,0.17999035,0.020062815,-0.12131615,-0.11013557,0.19523647,0.07140142,0.018228753,91.688835,93.12226
0_tr_reg_004_0.obj,0.105467014,-0.16392983,0.05874718,0.038982954,-0.1282441,-0.1404848,0.15200861,-0.13732095,0.054315377,-0.13587166,0.16955516,-0.06547289,0.07854568,-0.27338475,-6.939022e-05,0.16548559,-0.2053908,-0.17339468,-0.072866015,0.24972264,-0.017567983,0.20194688,-0.0897089,0.1213658,0.3735487,-0.06795052,0.4335459,-0.075490065,-0.1904792,-0.23553684,-0.13963546,0.25155616,186.47726,127.416
0_tr_reg_005_0.obj,-0.25709197,-0.032581396,-0.06617599,-0.34460694,0.22560258,0.042819098,-0.25728288,-0.07798779,-0.09934266,-0.2590161,-0.046749175,-0.005292733,0.077617116,-0.03359438,-0.2654546,-0.34012425,0.07802994,-0.07934863,0.22913046,0.04949964,-0.22879744,0.25190946,0.10424945,-0.199813,0.14643355,-0.0506592,0.04132124,-0.2855877,0.13411923,0.17023104,-0.15505314,-0.0025406035,92.228134,15.134773
0_tr_reg_006_0.obj,-0.014870461,0.002241783,-0.13576007,-0.082765855,-0.34025204,0.08796403,-0.009933937,-0.10413788,-0.08695541,-0.057057243,-0.0808513,-0.10835235,-0.02126989,-0.08706383,-0.10693189,-0.11781208,0.33845994,0.1840853,0.06389712,-0.0973507,0.024490766,0.46090767,0.17692333,-0.37797213,-0.16550572,0.3284641,0.15669657,0.0702189,0.09004852,-0.056835454,0.21850355,-0.06744362,143.2883,76.51104
0_tr_reg_007_0.obj,0.16035695,0.1468106,0.25692478,0.21442266,-0.07125501,0.019878479,0.36792117,-0.028704418,-0.18850271,0.074561514,-0.14198768,0.16417556,-0.15362762,0.11711669,-0.039040647,0.026957832,0.033038426,0.36715767,-0.12540732,-0.12096409,0.22032495,-0.29257756,0.13084994,0.09282963,0.32881773,0.22821815,0.002681513,0.012461936,-0.101293966,-0.11777983,-0.04480911,-0.2421987,174.2861,164.19374
0_tr_reg_008_0.obj,0.108477496,0.17597423,-0.09676943,-0.20994441,0.08072795,-0.12427544,-0.23781018,-0.15194985,-0.0047820383,-0.05584444,0.13351974,-0.15964814,0.22914653,0.23016268,0.08786467,-0.23955351,-0.14557515,-0.30486467,0.19678082,-0.061048694,-0.0543264,-0.019239245,-0.3576648,-0.3656033,-0.045497436,-0.11733322,-0.06926529,0.32056043,-0.091544695,0.16740425,-0.062205624,0.0034289926,10.247757,72.93454
0_tr_reg_009_0.obj,-0.08013222,0.084692575,0.25569847,0.05098978,0.299615,0.08244437,-0.26517856,0.110268496,-0.06694422,0.050075687,0.30820748,0.3754553,-0.18071039,-0.10578039,-0.08292652,0.11577514,0.16020736,-0.20980513,-0.012674501,0.0793965,-0.034442227,-0.31336823,-0.25439677,-0.0037858102,0.0035585803,-0.20677108,0.013862179,0.13928711,-0.21910836,0.21041939,0.17879066,-0.073670484,66.961334,152.53018
