filename,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l20,l21,l22,l23,l24,l25,l26,l27,l28,l29,l30,l31,l32,embed_x,embed_y
tr_reg_000.obj,-0.029305741,0.11974592,0.18256986,-0.11081327,0.1308536,0.003965756,-0.12801374,0.117568225,-0.3544952,-0.08455306,0.22899856,0.27051222,-0.076413564,-0.06916531,-0.119392484,0.07844188,0.09837706,-0.22545233,0.08244955,-0.30325577,-0.35433677,-0.1460967,-0.0929428,0.019728044,-0.015487496,-0.056498274,0.08600463,0.26672032,0.042131014,0.2163451,0.3641698,-0.15496865,464.23648,188.3168
tr_reg_001.obj,-0.25907663,0.06602705,0.2951147,0.05348433,-0.017070545,-0.24354988,0.025908336,-0.3120882,0.007372656,0.074730456,-0.051563393,0.08540457,0.26773044,-0.23066641,0.16208267,0.23109078,-0.15633944,-0.049516696,-0.20593703,0.101448596,-0.055400126,0.067041844,0.15943672,-0.15937865,0.42734903,-0.22089164,-0.11599676,0.037592452,-0.21783203,0.1432768,0.088780515,0.024598166,463.67728,188.01309
tr_reg_002.obj,-0.34198254,0.049835615,0.07188403,-0.033919957,-0.12182447,0.0129267555,0.026408896,0.0018813267,-0.0019306598,-0.2913441,0.03226965,0.048899796,-0.1108741,-0.18389587,0.13108253,0.12170425,0.078236334,-0.1273753,-0.08466837,0.08356187,0.1363056,0.48139867,-0.38527167,-0.17119442,-0.17801325,-0.13424532,0.03584598,0.1748272,0.23803212,-0.2658184,-0.03612007,0.1317896,464.2709,188.30142
tr_reg_003.obj,-0.34193635,0.10141871,0.052117363,0.06455982,0.10597527,-0.049867846,0.009507046,0.07011448,0.40955213,0.022493647,-0.0317072,-0.11186348,0.060491838,0.09098269,0.076917194,-0.22627975,-0.27239165,0.11624042,-0.20419636,-0.06877746,-0.07156328,-0.20289472,-0.016272763,-0.11526676,-0.45739692,0.057136703,-0.28707302,0.2304396,0.07086177,0.16065033,-0.09248012,-0.12257779,36.5123,345.8318
tr_reg_004.obj,0.2624095,-0.16350982,-0.16006978,-0.08018504,0.006463595,0.084498905,-0.24036363,0.10538168,0.0039634677,0.1451338,0.12304849,0.117442064,0.22408599,-0.085175075,0.17267218,0.31205314,-0.38687608,-0.33511963,0.06192511,-0.017306099,-0.13870254,-0.052623287,-0.26101807,0.23793611,-0.058925632,-0.075513035,0.06310647,0.1349261,-0.0072430302,0.18923147,0.14806819,0.2441425,467.14215,188.97282
tr_reg_005.obj,-0.28678027,-0.0051603788,-0.16739173,-0.35104346,0.18441817,-0.12633403,-0.21295017,-0.008459095,-0.027334305,-0.13283369,0.24956524,0.2086133,-0.018591207,-0.1442426,0.099060975,0.20202775,0.19624381,-0.3812369,-0.013395629,0.14613941,-0.21305269,0.14300933,-0.14416155,-0.23122388,-0.09365632,-0.1939611,0.020510191,0.14505099,0.057576712,0.09146935,0.16902521,-0.14673597,464.22675,188.31712
tr_reg_006.obj,-0.08233281,0.34709802,-0.03252187,0.10162524,0.41328305,0.2474902,0.10754612,0.1361582,0.23320745,0.0738185,0.020226216,-0.24743155,0.02178902,-0.036866643,0.2190023,-0.07394956,0.122925214,-0.023398055,0.0115849245,0.31456998,-0.15653516,-0.030003613,-0.19993411,-0.0051398003,-0.22138786,0.16579783,-0.010792194,0.11652856,-0.36758098,-0.117063686,0.010536144,0.056488995,36.604095,345.51715
tr_reg_007.obj,-0.017936507,-0.54942846,0.021788074,0.17554413,0.045170948,0.22417177,-0.27704427,0.0409872,0.03568968,-0.09127931,0.018153256,-0.024097124,-0.1198398,0.1801086,-0.33805174,-0.20422108,0.057679877,0.07453132,0.22904103,-0.0041384827,0.14469463,-0.035137717,-0.0801406,0.012661948,0.3961071,-0.057286877,0.0069477423,0.08386563,-0.0036128864,0.20887353,-0.023286825,-0.14466141,649.53107,502.80368
tr_reg_008.obj,0.03622328,-0.2685629,-0.32722792,-0.0807707,-0.07690403,-0.30249903,0.32824397,-0.10462401,0.25580862,-0.036379617,0.31307775,-0.19982928,-0.08093215,0.22880746,0.03419823,-0.08453759,-0.073472306,-0.025723428,-0.03488637,0.044636607,-0.06448618,-0.28244558,0.18610267,0.04144347,0.11423447,-0.13128154,0.21243618,0.22460704,-0.20446433,-0.07226309,-0.075533785,-0.12949857,681.94,297.687
tr_reg_009.obj,0.041451078,-0.17263927,0.020341218,-0.3086517,-0.15569751,-0.17062797,-0.13620494,-0.12768552,0.3560369,0.038921136,0.1265519,0.18756443,-0.18682805,-0.10783319,0.09955417,0.20177288,0.1523861,0.24647868,-0.070762314,0.26946962,0.25848863,-0.12664059,-0.124361314,-0.22335131,-0.06755732,0.37361184,0.089324854,-0.022966268,-0.025873695,-0.02106468,0.10933575,-0.18009442,22.31842,375.61194
