filename,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l20,l21,l22,l23,l24,l25,l26,l27,l28,l29,l30,l31,l32,embed_x,embed_y
tr_reg_000.obj,-0.060079623,0.20406155,-0.08222143,-0.11535935,0.43912575,0.15306728,-0.18566589,0.20174824,-0.21415421,-0.05388869,-0.12618287,0.10154116,-0.14214025,0.07332322,-0.09133291,-0.022790214,-0.091099545,-0.14719293,0.10207364,0.135703,-0.26887894,-0.037942834,-0.11129892,0.29545382,-0.08990725,0.33000746,0.124960296,-0.3610669,0.14224601,-0.08168531,-0.034996945,0.10240588,464.23648,188.3168
tr_reg_001.obj,0.25713134,0.34284356,-0.19603437,-0.09881605,-0.23106255,0.06741935,-0.009794581,0.21901415,0.042124107,0.05435532,-0.31620038,-0.31941622,0.035663996,-0.11041654,0.009792506,-0.04633471,0.31747437,0.12192811,0.062665194,-0.13986179,0.0614409,0.10131653,0.17328028,-0.119476594,-0.17712268,0.08645766,-0.22475307,-0.27121258,-0.26463714,0.029365761,0.010763351,-0.091051206,463.67728,188.01309
tr_reg_002.obj,-0.1983675,0.1946894,-0.11556979,-0.13916853,0.10681841,0.14040042,-0.056224853,0.3260306,0.037398033,-0.04252119,0.38333943,-0.26122898,-0.075690135,0.12645197,0.124299936,0.17918894,0.08277318,-0.19790038,-0.02769329,0.06337866,-0.3986467,0.11350109,-0.0754748,-0.076094955,0.14216101,0.06734963,0.21767,0.27782065,-0.002059975,-0.21239519,0.0072313137,0.1822111,464.2709,188.30142
tr_reg_003.obj,-0.23063403,-0.17073794,0.29670754,0.047162928,-0.018347219,0.110300295,0.17985614,-0.028959611,0.0013987258,-0.0008664613,-0.4087966,0.1702055,-0.14289193,-0.20902182,-0.1611548,0.020743027,-0.13092713,0.3059236,-0.21192862,-0.060706325,0.23259327,0.04306168,-0.09993606,0.29598325,-0.01982843,0.30193114,-0.08105561,-0.23643886,0.15273505,-0.049392402,-0.01604791,-0.04668041,36.5123,345.8318
tr_reg_004.obj,0.1981933,0.2471547,0.23495354,0.12788965,0.08380824,0.2561761,0.0241698,0.020902755,-0.45806125,-0.15276857,0.11363716,0.058032494,-0.06977224,0.009243201,-0.02713931,-0.038379457,0.0075134104,0.14786877,0.1606638,-0.15350246,-0.12275187,-0.059163846,-0.16929415,0.28222647,0.15643518,0.2505778,0.38765064,-0.09648067,0.06537543,-0.12687458,0.12539893,0.12916797,467.14215,188.97282
tr_reg_005.obj,-0.3080941,0.1366603,0.064584844,-0.24298024,0.09827848,0.12252503,-0.0913302,0.27241474,-0.13282688,-0.33364293,0.18319862,0.25653365,-0.3139191,0.109485626,0.06426016,0.1276432,-0.18567842,-0.019290717,-0.0020926595,-0.19670837,0.030548334,0.013813113,-0.2331581,0.0486966,0.2349118,0.027510313,0.15620317,-0.15236323,0.15863083,-0.15353683,-0.232186,0.13811544,464.22675,188.31712
tr_reg_006.obj,-0.19098288,0.08001965,-0.057168208,-0.25152868,0.173583,0.08642766,-0.04615624,0.002989927,-0.028856402,-0.033883926,0.25683343,0.37085325,-0.063432544,-0.32298732,0.080590025,-0.12186512,0.29656205,-0.08012291,0.20075504,-0.04476948,-0.061297707,0.0020431413,-0.1119906,-0.016889865,-0.288826,-0.29829612,0.17401892,0.11073666,-0.1000088,0.14588423,0.25635973,-0.22464614,36.604095,345.51715
tr_reg_007.obj,0.21413861,0.038591858,0.04732027,0.34060478,0.34129652,-0.04417001,-0.16287784,-0.29512447,-0.1358566,-0.037731834,0.0831,-0.049632743,-0.118388936,0.44154608,-0.008562109,-0.17587537,0.08378768,-0.16995189,0.071016334,0.2840355,0.19484507,-0.097156435,0.044324957,-0.03118963,-0.13417254,-0.053169854,-0.037298653,-0.21344575,0.036152925,-0.2067994,-0.17812148,-0.13252784,649.53107,502.80368
tr_reg_008.obj,-0.040149838,-0.23297776,-0.22084767,0.11713131,-0.15356745,-0.2692263,0.04898648,-0.30357996,0.12381429,-0.24859536,0.10923001,-0.0005157682,0.20823166,-0.085565194,-0.04371899,-0.047276266,-0.22879596,-0.17702481,0.027858304,0.13957182,-0.12352037,0.21993989,0.28904444,-0.07210165,0.22814856,-0.27584824,0.09852207,-0.07813756,0.054093495,0.06261711,-0.07190998,0.36716247,681.94,297.687
tr_reg_009.obj,0.15799168,-0.12914716,-0.15605487,-0.11639321,-0.011002052,-0.11916923,0.40432894,-0.06183686,0.26164797,0.19139415,-0.019962242,-0.024772348,0.020240048,0.00074379833,0.2649514,0.07596994,-0.21953459,0.037085265,-0.10486499,0.11647584,0.22415827,-0.28779727,-0.17202933,0.2654725,-0.30518147,-0.13261372,0.009048807,0.01900933,-0.09618416,-0.069903836,-0.21972233,-0.27474967,22.31842,375.61194
2_tr_reg_006_0.obj,-0.23190388,-0.06791557,0.01737279,-0.16831401,0.21179396,0.002628167,-0.11940218,-0.17478551,-0.08734797,-0.027710432,0.230555,0.41360435,-0.038605206,-0.31387922,0.04278402,-0.029821556,0.2903287,-0.12874216,0.20680952,0.09763064,-0.029198725,0.1425281,-0.08962835,-0.12194172,-0.12599593,-0.28631037,0.16864146,0.13790591,-0.079969026,0.052075423,0.32856074,-0.16837895,248.12979,351.96896
7_6_4_2_1_0_tr_reg_009_0_0_0_0_0_0.obj,0.11813636,-0.09852651,-0.10092952,-0.009866694,0.021691967,-0.088420294,0.33017963,-0.041232236,0.21665026,0.13283043,0.024612686,-0.013608153,-0.106698185,0.09828147,0.30999175,0.14202145,-0.14840469,0.01031649,-0.16673318,0.11384591,0.32083556,-0.23334032,-0.2663098,0.17076752,-0.35732132,-0.12798932,-0.028267063,0.09263092,-0.044817634,-0.19493854,-0.19137686,-0.3064849,350.75842,691.3949
7_tr_reg_008_0.obj,-0.0068973307,-0.20370084,-0.19634764,0.2217254,-0.1501892,-0.2601517,0.0597852,-0.3223712,0.020436555,-0.23819922,0.030271996,0.027001286,0.26810965,-0.15888561,-0.0345438,-0.024903296,-0.21300067,-0.21012163,0.024744514,0.099536546,-0.10352125,0.29044902,0.21969588,-0.03357112,0.09710753,-0.30598798,0.03803183,-0.019687189,0.107322946,0.10468777,0.044901796,0.37599277,604.0974,300.57724
7_6_4_1_tr_reg_008_0_0_0_0.obj,0.15384994,-0.1442694,-0.18390167,0.28395423,-0.11724262,-0.1972125,0.0622288,-0.1491891,-0.14981724,-0.10924147,-0.10554898,0.045473278,0.30035937,-0.16343841,-0.12058009,-0.08312246,-0.18735442,-0.26101154,0.037662562,-0.031024061,-0.109833494,0.23264253,0.035606768,0.06234514,-0.14223093,-0.2568127,-0.10635977,0.14744537,0.23108537,0.23556659,0.18639946,0.36947536,711.7224,241.33928
0_tr_reg_009_0.obj,0.13127689,-0.16825382,-0.12255426,-0.1478859,0.03245324,-0.10455555,0.40119815,-0.11777667,0.31389022,0.23043086,-0.011709451,-0.045983102,0.053351834,-0.008830295,0.23482549,0.030255657,-0.19982661,0.07994802,-0.073344536,0.17206076,0.22481954,-0.29238626,-0.13334493,0.2538295,-0.22748995,-0.13445993,-0.0035277514,0.0015369318,-0.14435793,-0.041883446,-0.21716285,-0.280609,633.39166,623.3062
7_5_4_3_tr_reg_006_0_0_0_0.obj,-0.03651096,0.2628459,-0.03268231,-0.17277998,-0.09540447,0.1479696,0.17967013,0.22675753,-0.07531957,-0.15878391,0.2528873,0.19877979,-0.11446524,-0.22029722,0.08273556,-0.2569637,0.19281189,0.06710575,0.104713134,-0.3492826,-0.03344024,-0.17363676,-0.06281133,0.21375713,-0.34729105,-0.22556348,0.23366979,-0.0044784495,-0.020092856,0.1478719,-0.0072884266,-0.10544448,234.34996,213.85574
1_tr_reg_000_0.obj,-0.12517738,0.055267874,-0.074169666,-0.2051665,0.2457121,-0.1783914,-0.39120734,0.0987715,0.028125089,0.22569756,-0.023516014,0.05227812,0.18459637,0.20300485,0.028868329,0.2156107,-0.27332747,-0.25717306,0.044661142,0.09004927,-0.30296725,-0.16873576,0.11527852,-0.14077745,0.31668827,0.08857612,-0.17975433,0.0297114,-0.100052215,0.21052659,-0.032791298,0.0019108305,138.55876,530.16693
